name,id,Rate1,Rate2,Rate3
"Moultrie, IL",17139,6541,1453,1605
"Ogle, IL",17141,25465,1970,4415
"Peoria, IL",17143,126475,1094,4630
"Perry, IL",17145,9280,989,4473
"Piatt, IL",17147,6313,57,394
"Pike, IL",17149,7858,1596,3775
"Pope, IL",17151,1636,718,2033
"Pulaski, IL",17153,3211,756,4513
"Putnam, IL",17155,3094,1738,764
"Randolph, IL",17157,16496,293,5746
"Richland, IL",17159,9915,367,4300
"Rock Island, IL",17161,97195,67,2290
"St. Clair, IL",17163,121889,1460,5626
"Saline, IL",17165,12961,1728,3435
"Sangamon, IL",17167,134993,1250,5308
"Schuyler, IL",17169,3376,940,2203
"Scott, IL",17171,2923,559,5187
"Shelby, IL",17173,9587,1734,1416
"Stark, IL",17175,2430,1614,1259
"Stephenson, IL",17177,29145,345,4195
"Tazewell, IL",17179,72498,728,4024
"Union, IL",17181,8140,54,722
"Vermilion, IL",17183,42653,38,451
"Wabash, IL",17185,6294,463,60
"Warren, IL",17187,8564,589,1163
"Washington, IL",17189,8323,814,2442
"Wayne, IL",17191,8107,775,1640
"White, IL",17193,7569,452,5314
"Whiteside, IL",17195,31114,555,4027
"Will, IL",17197,186143,863,2643
"Williamson, IL",17199,30951,13,4209
"Winnebago, IL",17201,176592,1647,5389
"Woodford, IL",17203,15415,1853,600
INDIANA,18000,3673247,784,506
"Adams, IN",18001,22838,342,737
"Allen, IN",18003,232891,501,1854
"Bartholomew, IN",18005,52935,1821,3821
"Benton, IN",18007,4908,1508,567
"Blackford, IN",18009,6350,455,4718
"Boone, IN",18011,24024,1707,4460
"Brown, IN",18013,6332,867,5705
"Carroll, IN",18015,10543,1307,5846
"Cass, IN",18017,22571,1194,2910
"Clark, IN",18019,58982,1037,5167
"Clay, IN",18021,12430,649,3718
"Clinton, IN",18023,15323,663,999
"Crawford, IN",18025,4115,509,5936
"Daviess, IN",18027,16061,245,2832
"Dearborn, IN",18029,20967,752,5134
"Decatur, IN",18031,18267,318,859
"DeKalb, IN",18033,28345,1365,2240
"Delaware, IN",18035,69603,555,4929
"Dubois, IN",18037,35703,79,3365
"Elkhart, IN",18039,148489,1314,3860
"Fayette, IN",18041,13866,295,3338
"Floyd, IN",18043,36882,1814,4610
"Fountain, IN",18045,8491,1018,3194
"Franklin, IN",18047,7073,779,2651
"Fulton, IN",18049,11125,950,5244
"Gibson, IN",18051,17179,1868,2534
"Grant, IN",18053,38378,663,5540
"Greene, IN",18055,12695,1800,607
"Hamilton, IN",18057,110169,910,255
"Hancock, IN",18059,24526,230,4399
"Harrison, IN",18061,17095,182,2262
"Hendricks, IN",18063,47743,459,29
"Henry, IN",18065,20820,1351,670
"Howard, IN",18067,57677,1335,3295
"Huntington, IN",18069,21354,1606,4922
"Jackson, IN",18071,26517,534,548
"Jasper, IN",18073,15935,1937,671
"Jay, IN",18075,10628,1067,4627
"Jefferson, IN",18077,17814,1689,5255
"Jennings, IN",18079,11987,1142,2804
"Johnson, IN",18081,57683,451,4204
"Knox, IN",18083,22950,67,341
"Kosciusko, IN",18085,44257,953,3900
"LaGrange, IN",18087,18100,177,3329
"Lake, IN",18089,244909,95,4765
"LaPorte, IN",18091,60386,473,3046
"Lawrence, IN",18093,22274,1816,1088
"Madison, IN",18095,59348,461,4974
"Marion, IN",18097,716500,754,5958
"Marshall, IN",18099,26031,789,3309
"Martin, IN",18101,8725,1631,5782
"Miami, IN",18103,15276,501,3698
"Monroe, IN",18105,78890,1713,1171
"Montgomery, IN",18107,22613,1952,395
"Morgan, IN",18109,20610,1952,1695
"Newton, IN",18111,5543,1231,390
"Noble, IN",18113,28090,1810,2677
"Ohio, IN",18115,2827,592,5947
"Orange, IN",18117,9211,1801,1920
"Owen, IN",18119,7035,242,1359
"Parke, IN",18121,5781,81,2969
"Perry, IN",18123,8366,1564,611
"Pike, IN",18125,4250,1629,2082
"Porter, IN",18127,70663,1408,992
"Posey, IN",18129,13676,1924,5375
"Pulaski, IN",18131,6867,1116,1857
"Putnam, IN",18133,17394,1333,3759
"Randolph, IN",18135,11710,1958,1309
"Ripley, IN",18137,16967,334,4893
"Rush, IN",18139,8549,1071,4874
"St. Joseph, IN",18141,161158,219,1801
"Scott, IN",18143,9881,1780,5956
"Shelby, IN",18145,22922,1724,5471
"Spencer, IN",18147,11294,54,200
"Starke, IN",18149,6917,1586,4764
"Steuben, IN",18151,22123,600,97
"Sullivan, IN",18153,8228,1201,5378
"Switzerland, IN",18155,3211,883,5715
"Tippecanoe, IN",18157,99143,1123,3069
"Tipton, IN",18159,6414,951,2775
"Union, IN",18161,2781,1536,3959
"Vanderburgh, IN",18163,129413,1939,1718
"Vermillion, IN",18165,6754,1730,5144
"Vigo, IN",18167,64304,1848,5906
"Wabash, IN",18169,20371,1117,1633
"Warren, IN",18171,2845,1407,3527
"Warrick, IN",18173,18763,413,1516
"Washington, IN",18175,10738,271,2965
"Wayne, IN",18177,44508,1227,3589
"Wells, IN",18179,15906,27,635
"White, IN",18181,14334,587,5801
"Whitley, IN",18183,16127,1891,3484
IOWA,19000,1934077,1328,2523
"Adair, IA",19001,5678,77,2044
"Adams, IA",19003,2922,1581,498
"Allamakee, IA",19005,9320,1931,4576
"Appanoose, IA",19007,7684,40,3359
"Audubon, IA",19009,4062,1224,3306
"Benton, IA",19011,11112,1936,43
"Black Hawk, IA",19013,87053,801,2026
"Boone, IA",19015,13659,1974,3637
"Bremer, IA",19017,14009,770,2375
"Buchanan, IA",19019,10027,1979,448
"Buena Vista, IA",19021,13553,1201,1836
"Butler, IA",19023,6931,1093,627
"Calhoun, IA",19025,6124,1699,4129
"Carroll, IA",19027,16224,201,2484
"Cass, IA",19029,9631,946,519
"Cedar, IA",19031,9286,332,1981
"Cerro Gordo, IA",19033,33931,966,3778
"Cherokee, IA",19035,8719,1091,135
"Chickasaw, IA",19037,7788,1981,3132
"Clarke, IA",19039,6756,1845,5163
"Clay, IA",19041,12707,1148,1362
"Clayton, IA",19043,12041,717,1204
"Clinton, IA",19045,29301,680,1597
"Crawford, IA",19047,10922,1823,3613
"Dallas, IA",19049,18540,1211,4612
"Davis, IA",19051,4305,1859,5122
"Decatur, IA",19053,4595,1454,1288
"Delaware, IA",19055,10616,491,5782
"Des Moines, IA",19057,30467,478,2139
"Dickinson, IA",19059,12783,778,2509
"Dubuque, IA",19061,63098,480,1259
"Emmet, IA",19063,6732,191,3964
"Fayette, IA",19065,12172,1415,2598
"Floyd, IA",19067,8604,157,497
"Franklin, IA",19069,6553,1143,106
"Fremont, IA",19071,5491,1879,2860
"Greene, IA",19073,5639,1482,2131
"Grundy, IA",19075,6287,1223,3991
"Guthrie, IA",19077,5503,1626,5753
"Hamilton, IA",19079,11468,115,1123
"Hancock, IA",19081,10636,1522,4267
"Hardin, IA",19083,11428,681,149
"Harrison, IA",19085,7012,888,2473
"Henry, IA",19087,14513,395,5474
"Howard, IA",19089,6766,1118,2422
"Humboldt, IA",19091,6695,1121,2904
"Ida, IA",19093,5482,1107,2694
"Iowa, IA",19095,14078,375,1281
"Jackson, IA",19097,10754,1330,4313
"Jasper, IA",19099,20765,1883,5631
"Jefferson, IA",19101,12537,795,847
"Johnson, IA",19103,87606,1953,484
"Jones, IA",19105,9587,1354,659
"Keokuk, IA",19107,5105,308,2190
"Kossuth, IA",19109,10891,515,5848
"Lee, IA",19111,23392,1559,5594
"Linn, IA",19113,145686,1360,1103
"Louisa, IA",19115,5444,495,2494
"Lucas, IA",19117,5488,402,2155
"Lyon, IA",19119,6267,95,4476
"Madison, IA",19121,6588,1311,2372
"Mahaska, IA",19123,12200,806,746
"Marion, IA",19125,23881,506,444
"Marshall, IA",19127,24274,1376,4112
"Mills, IA",19129,6133,80,3305
"Mitchell, IA",19131,6072,1644,3643
"Monona, IA",19133,5787,1959,583
"Monroe, IA",19135,5059,1287,3438
"Montgomery, IA",19137,7300,1798,902
"Muscatine, IA",19139,27846,1879,1414
"O'Brien, IA",19141,9638,537,127
"Osceola, IA",19143,3818,1820,1850
"Page, IA",19145,9792,1830,5263
"Palo Alto, IA",19147,5786,18,5959
"Plymouth, IA",19149,15107,91,596
"Pocahontas, IA",19151,5025,692,1454
"Polk, IA",19153,316872,1543,628
"Pottawattamie, IA",19155,46863,1321,4127
"Poweshiek, IA",19157,13833,462,2928
"Ringgold, IA",19159,3008,1884,2061
"Sac, IA",19161,5969,451,3134
"Scott, IA",19163,106536,1406,5521
"Shelby, IA",19165,7522,145,2541
"Sioux, IA",19167,22567,1405,3096
"Story, IA",19169,53958,1617,2388
"Tama, IA",19171,8878,1414,4647
"Taylor, IA",19173,3483,1498,3488
"Union, IA",19175,8632,1871,5509
"Van Buren, IA",19177,3890,154,1509
"Wapello, IA",19179,20295,48,933
"Warren, IA",19181,14401,1905,214
"Washington, IA",19183,11076,1631,1408
"Wayne, IA",19185,3481,1030,903
"Webster, IA",19187,25539,27,1967
"Winnebago, IA",19189,7692,1053,2637
"Winneshiek, IA",19191,15543,298,2831
"Woodbury, IA",19193,65482,854,5934
"Worth, IA",19195,3340,840,1044
"Wright, IA",19197,8486,158,918
KANSAS,20000,1771218,1009,2317
"Allen, KS",20001,9360,633,2761
"Anderson, KS",20003,4301,1747,3080
"Atchison, KS",20005,10505,1994,3921
"Barber, KS",20007,3369,20,358
"Barton, KS",20009,19555,534,2949
"Bourbon, KS",20011,9520,1173,2138
"Brown, KS",20013,7121,861,608
"Butler, KS",20015,26820,1150,4134
"Chase, KS",20017,2491,1757,1815
"Chautauqua, KS",20019,2351,377,3550
"Cherokee, KS",20021,10484,525,3797
"Cheyenne, KS",20023,1893,1810,1069
"Clark, KS",20025,1682,1151,5323
"Clay, KS",20027,6305,762,3383
"Cloud, KS",20029,5840,935,3035
"Coffey, KS",20031,6283,582,1000
"Comanche, KS",20033,1401,393,5196
"Cowley, KS",20035,20781,1425,1255
"Crawford, KS",20037,23192,683,1920
"Decatur, KS",20039,2259,1837,5900
"Dickinson, KS",20041,10105,400,4008
"Doniphan, KS",20043,4351,657,2729
"Douglas, KS",20045,64036,1471,3256
"Edwards, KS",20047,1965,1019,2795
"Elk, KS",20049,1680,88,892
"Ellis, KS",20051,21577,413,1298
"Ellsworth, KS",20053,3946,1323,3600
"Finney, KS",20055,25522,1502,2716
"Ford, KS",20057,20123,1990,267
"Franklin, KS",20059,13133,358,1654
"Geary, KS",20061,25451,1952,3930
"Gove, KS",20063,2344,1346,2551
"Graham, KS",20065,2653,341,4151
"Grant, KS",20067,4899,1798,891
"Gray, KS",20069,3851,829,1028
"Greeley, KS",20071,1167,1710,3857
"Greenwood, KS",20073,3897,810,4958
"Hamilton, KS",20075,1695,1336,5614
"Harper, KS",20077,4033,1571,1241
"Harvey, KS",20079,20121,1826,1213
"Haskell, KS",20081,2300,1157,2943
"Hodgeman, KS",20083,1395,1479,1560
"Jackson, KS",20085,8641,1086,1725
"Jefferson, KS",20087,5797,356,2270
"Jewell, KS",20089,2361,269,4978
"Johnson, KS",20091,363616,316,5573
"Kearny, KS",20093,2056,1262,3328
"Kingman, KS",20095,5234,1984,3173
"Kiowa, KS",20097,2068,1222,5221
"Labette, KS",20099,15450,1057,123
"Lane, KS",20101,1517,180,3754
"Leavenworth, KS",20103,33239,236,1310
"Lincoln, KS",20105,2248,1691,5684
"Linn, KS",20107,4068,1176,3771
"Logan, KS",20109,2191,1120,1035
"Lyon, KS",20111,23415,1213,1362
"McPherson, KS",20113,21499,1778,5875
"Marion, KS",20115,7195,757,590
"Marshall, KS",20117,7575,1448,3556
"Meade, KS",20119,2681,1382,4613
"Miami, KS",20121,12587,217,5038
"Mitchell, KS",20123,4884,63,1156
"Montgomery, KS",20125,21838,1729,1677
"Morris, KS",20127,3216,488,4691
"Morton, KS",20129,2035,1226,5803
"Nemaha, KS",20131,6748,603,2817
"Neosho, KS",20133,11003,1456,1
"Ness, KS",20135,2742,1318,5441
"Norton, KS",20137,3805,696,4374
"Osage, KS",20139,6034,583,1911
"Osborne, KS",20141,2933,1233,986
"Ottawa, KS",20143,2759,84,4855
"Pawnee, KS",20145,4956,648,2176
"Phillips, KS",20147,4487,971,356
"Pottawatomie, KS",20149,11698,1938,4458
"Pratt, KS",20151,6351,494,4213
"Rawlins, KS",20153,2707,1393,215
"Reno, KS",20155,37768,57,4113
"Republic, KS",20157,4041,998,5459
"Rice, KS",20159,5178,106,5471
"Riley, KS",20161,35375,65,3748
"Rooks, KS",20163,3588,1847,837
"Rush, KS",20165,2313,1640,1216
"Russell, KS",20167,4899,328,4755
"Saline, KS",20169,39633,1186,2477
"Scott, KS",20171,3511,980,1945
"Sedgwick, KS",20173,310985,1817,2440
"Seward, KS",20175,15109,1837,1810
"Shawnee, KS",20177,122897,1728,4114
"Sheridan, KS",20179,1802,349,1850
"Sherman, KS",20181,5179,544,3209
"Smith, KS",20183,2731,1536,4144
"Stafford, KS",20185,3140,1352,4094
"Stanton, KS",20187,1570,454,1050
"Stevens, KS",20189,3360,501,78
"Sumner, KS",20191,10338,1151,3883
"Thomas, KS",20193,6521,1309,1764
"Trego, KS",20195,2230,80,2955
"Wabaunsee, KS",20197,2879,1820,3372
"Wallace, KS",20199,1175,808,821
"Washington, KS",20201,4045,867,1439
"Wichita, KS",20203,1693,1357,3683
"Wilson, KS",20205,5809,837,2904
"Woodson, KS",20207,1872,1413,4298
"Wyandotte, KS",20209,94186,1865,623
KENTUCKY,21000,2332023,1766,4339
"Adair, KY",21001,8150,92,3440
"Allen, KY",21003,8447,681,1602
"Anderson, KY",21005,7159,1453,111
"Ballard, KY",21007,4980,1983,3895
"Barren, KY",21009,26015,1189,3961
"Bath, KY",21011,4157,448,5153
"Bell, KY",21013,12644,1080,2463
"Boone, KY",21015,82067,1799,990
"Bourbon, KY",21017,9988,1184,3027
"Boyd, KY",21019,33240,1694,5403
"Boyle, KY",21021,22816,382,2658
"Bracken, KY",21023,3223,1209,1180
"Breathitt, KY",21025,4839,1835,1083
"Breckinridge, KY",21027,7103,1884,3666
"Bullitt, KY",21029,19186,968,2535
"Butler, KY",21031,6128,1913,2946
"Caldwell, KY",21033,6451,1431,3127
"Calloway, KY",21035,22243,109,5511
"Campbell, KY",21037,36350,1645,2459
"Carlisle, KY",21039,1971,372,2309
"Carroll, KY",21041,7723,988,5005
"Carter, KY",21043,9544,1783,2624
"Casey, KY",21045,7126,1339,1884
"Christian, KY",21047,60592,674,2202
"Clark, KY",21049,20464,194,5354
"Clay, KY",21051,6770,351,2055
"Clinton, KY",21053,5319,1428,2418
"Crittenden, KY",21055,3945,1580,3795
"Cumberland, KY",21057,3161,1016,430
"Daviess, KY",21059,55231,702,2760
"Edmonson, KY",21061,3155,594,2238
"Elliott, KY",21063,1508,870,3541
"Estill, KY",21065,4205,881,4777
"Fayette, KY",21067,210454,1035,2709
"Fleming, KY",21069,6812,1592,1077
"Floyd, KY",21071,14661,1900,2576
"Franklin, KY",21073,40011,860,256
"Fulton, KY",21075,4312,643,3288
"Gallatin, KY",21077,3174,1597,682
"Garrard, KY",21079,5508,1820,4854
"Grant, KY",21081,8704,1392,3113
"Graves, KY",21083,18453,927,388
"Grayson, KY",21085,12635,1485,3319
"Green, KY",21087,4737,343,4611
"Greenup, KY",21089,13043,1962,5517
"Hancock, KY",21091,6457,1840,920
"Hardin, KY",21093,61208,1084,5894
"Harlan, KY",21095,10193,656,5770
"Harrison, KY",21097,7911,813,4033
"Hart, KY",21099,7646,1488,2621
"Henderson, KY",21101,27966,458,188
"Henry, KY",21103,6385,1964,4720
"Hickman, KY",21105,2110,180,2987
"Hopkins, KY",21107,22647,1158,5849
"Jackson, KY",21109,5252,500,3588
"Jefferson, KY",21111,529003,891,1823
"Jessamine, KY",21113,19538,120,2540
"Johnson, KY",21115,8643,1420,1300
"Kenton, KY",21117,73266,381,3675
"Knott, KY",21119,4527,1728,2669
"Knox, KY",21121,12796,273,5264
"Larue, KY",21123,5237,864,1373
"Laurel, KY",21125,29121,675,2648
"Lawrence, KY",21127,4713,1341,497
"Lee, KY",21129,2598,1270,4069
"Leslie, KY",21131,3572,303,3624
"Letcher, KY",21133,7913,110,1248
"Lewis, KY",21135,4156,940,2868
"Lincoln, KY",21137,7344,465,931
"Livingston, KY",21139,3962,1214,1024
"Logan, KY",21141,14675,1601,778
"Lyon, KY",21143,3107,1687,1760
"McCracken, KY",21145,47560,1309,3689
"McCreary, KY",21147,4736,472,4070
"McLean, KY",21149,3279,1977,648
"Madison, KY",21151,38230,1596,4813
"Magoffin, KY",21153,3897,776,4442
"Marion, KY",21155,9186,1359,2279
"Marshall, KY",21157,15674,139,5816
"Martin, KY",21159,3808,28,2974
"Mason, KY",21161,13016,1224,330
"Meade, KY",21163,6817,824,3844
"Menifee, KY",21165,1903,1170,1090
"Mercer, KY",21167,10990,1855,4742
"Metcalfe, KY",21169,4645,505,2380
"Monroe, KY",21171,5836,371,3805
"Montgomery, KY",21173,13918,1432,5573
"Morgan, KY",21175,5093,1810,5911
"Muhlenberg, KY",21177,13364,559,4488
"Nelson, KY",21179,18470,1323,2472
"Nicholas, KY",21181,2648,1434,5736
"Ohio, KY",21183,9142,65,5433
"Oldham, KY",21185,17930,1462,3809
"Owen, KY",21187,3715,1606,5609
"Owsley, KY",21189,1451,595,1996
"Pendleton, KY",21191,4605,1884,4559
"Perry, KY",21193,14905,698,3898
"Pike, KY",21195,30642,39,5351
"Powell, KY",21197,4906,951,5101
"Pulaski, KY",21199,33239,231,1073
"Robertson, KY",21201,908,1087,1690
"Rockcastle, KY",21203,5887,217,5573
"Rowan, KY",21205,12223,456,182
"Russell, KY",21207,8367,1758,416
"Scott, KY",21209,28278,192,1967
"Shelby, KY",21211,19759,516,2804
"Simpson, KY",21213,11015,255,317
"Spencer, KY",21215,3503,482,1328
"Taylor, KY",21217,12564,195,4049
"Todd, KY",21219,5322,767,4925
"Trigg, KY",21221,4997,1577,1523
"Trimble, KY",21223,2223,1838,586
"Union, KY",21225,8114,1192,83
"Warren, KY",21227,61942,1446,4820
"Washington, KY",21229,5535,1636,1680
"Wayne, KY",21231,8649,1361,5592
"Webster, KY",21233,5750,812,3031
"Whitley, KY",21235,15558,692,2233
"Wolfe, KY",21237,2471,515,2092
"Woodford, KY",21239,15003,6,3894
LOUISIANA,22000,2404237,297,4318
"Acadia, LA",22001,22364,946,1695
"Allen, LA",22003,12303,440,159
"Ascension, LA",22005,43058,1049,5795
"Assumption, LA",22007,6898,448,4577
"Avoyelles, LA",22009,16524,698,3157
"Beauregard, LA",22011,12972,312,5935
"Bienville, LA",22013,5896,200,2686
"Bossier, LA",22015,54256,249,2146
"Caddo, LA",22017,149713,1486,2216
"Calcasieu, LA",22019,103628,1111,2254
"Caldwell, LA",22021,3953,952,3696
"Cameron, LA",22023,5759,1690,1615
"Catahoula, LA",22025,4136,1395,851
"Claiborne, LA",22027,6065,883,5646
"Concordia, LA",22029,7177,70,1188
"De Soto, LA",22031,9236,427,2356
"East Baton Rouge, LA",22033,290533,1586,3365
"East Carroll, LA",22035,3401,686,5938
"East Feliciana, LA",22037,7359,308,3792
"Evangeline, LA",22039,11559,719,5754
"Franklin, LA",22041,9526,868,3851
"Grant, LA",22043,4801,233,1410
"Iberia, LA",22045,37319,459,3897
"Iberville, LA",22047,18056,1706,5800
"Jackson, LA",22049,5905,1783,960
"Jefferson, LA",22051,271111,755,807
"Jefferson Davis, LA",22053,10725,645,3703
"Lafayette, LA",22055,142385,718,5072
"Lafourche, LA",22057,44841,1838,4232
"La Salle, LA",22059,5461,542,83
"Lincoln, LA",22061,23578,266,1348
"Livingston, LA",22063,25705,550,5841
"Madison, LA",22065,5213,453,4007
"Morehouse, LA",22067,11406,1431,1425
"Natchitoches, LA",22069,18277,5,3
"Orleans, LA",22071,325602,858,4292
"Ouachita, LA",22073,87471,664,1457
"Plaquemines, LA",22075,21326,774,1114
"Pointe Coupee, LA",22077,8305,1833,710
"Rapides, LA",22079,70373,91,3074
"Red River, LA",22081,3568,559,1422
"Richland, LA",22083,8321,1605,5648
"Sabine, LA",22085,8401,1974,3045
"St. Bernard, LA",22087,22817,753,3539
"St. Charles, LA",22089,24070,1022,3918
"St. Helena, LA",22091,3738,679,5258
"St. James, LA",22093,8572,974,1150
"St. John the Baptist, LA",22095,16673,1786,4662
"St. Landry, LA",22097,28492,672,434
"St. Martin, LA",22099,15156,772,660
"St. Mary, LA",22101,33043,1068,523
"St. Tammany, LA",22103,85499,368,3983
"Tangipahoa, LA",22105,44574,890,3956
"Tensas, LA",22107,2796,7,2145
"Terrebonne, LA",22109,54479,1924,3756
"Union, LA",22111,8134,489,5793
"Vermilion, LA",22113,20411,1614,5022
"Vernon, LA",22115,24944,1888,824
"Washington, LA",22117,16967,430,1253
"Webster, LA",22119,16811,415,5526
"West Baton Rouge, LA",22121,13889,510,2328
"West Carroll, LA",22123,4436,183,2959
"West Feliciana, LA",22125,7826,958,5763
"Winn, LA",22127,6444,127,2775
MAINE,23000,792255,1627,103
"Androscoggin, ME",23001,61019,1874,3530
"Aroostook, ME",23003,40893,643,787
"Cumberland, ME",23005,214645,599,5615
"Franklin, ME",23007,17791,495,561
"Hancock, ME",23009,36320,1826,4487
"Kennebec, ME",23011,75269,681,1290
"Knox, ME",23013,27296,1541,225
"Lincoln, ME",23015,19343,258,2446
"Oxford, ME",23017,24918,1316,4737
"Penobscot, ME",23019,90356,1612,96
"Piscataquis, ME",23021,8658,863,5942
"Sagadahoc, ME",23023,20919,930,1667
"Somerset, ME",23025,26978,1815,4613
"Waldo, ME",23027,17262,640,2852
"Washington, ME",23029,19786,458,973
"York, ME",23031,90802,760,5185
MARYLAND,24000,3091547,1074,298
"Allegany, MD",24001,38120,1478,5599
"Anne Arundel, MD",24003,297317,1513,5431
"Baltimore, MD",24005,452528,1193,4142
"Calvert, MD",24009,26056,1547,2135
"Caroline, MD",24011,13014,80,5640
"Carroll, MD",24013,68706,1937,5269
"Cecil, MD",24015,31988,302,300
"Charles, MD",24017,49817,15,4303
"Dorchester, MD",24019,16292,1489,1407
"Frederick, MD",24021,104794,95,2920
"Garrett, MD",24023,17619,1464,2656
"Harford, MD",24025,97806,638,3309
"Howard, MD",24027,160732,418,5649
"Kent, MD",24029,11731,160,5527
"Montgomery, MD",24031,598297,605,2856
"Prince George's, MD",24033,393969,985,4102
"Queen Anne's, MD",24035,17240,1166,3577
"St. Mary's, MD",24037,49498,1839,4700
"Somerset, MD",24039,10638,149,4858
"Talbot, MD",24041,25374,1695,5189
"Washington, MD",24043,75559,906,5259
"Wicomico, MD",24045,51927,693,72
"Worcester, MD",24047,31585,1585,2244
"Baltimore city, MD",24510,450940,1447,1674
MASSACHUSETTS,25000,4096551,248,2862
"Barnstable, MA",25001,131663,589,1286
"Berkshire, MA",25003,79924,918,3159
"Bristol, MA",25005,274356,1053,5554
"Dukes, MA",25007,12234,850,3136
"Essex, MA",25009,392293,1157,2788
"Franklin, MA",25011,38993,1912,2961
"Hampden, MA",25013,250611,834,1323
"Hampshire, MA",25015,80554,587,5107
"Middlesex, MA",25017,1067601,95,5369
"Nantucket, MA",25019,8952,1499,1857
"Norfolk, MA",25021,412747,913,2537
"Plymouth, MA",25023,231088,1968,1862
"Suffolk, MA",25025,709301,1931,5656
"Worcester, MA",25027,406234,1397,2464
MICHIGAN,26000,5629498,1624,5034
"Alcona, MI",26001,3823,265,3397
"Alger, MI",26003,4173,110,3393
"Allegan, MI",26005,54536,1215,4123
"Alpena, MI",26007,18045,259,798
"Antrim, MI",26009,10589,1703,381
"Arenac, MI",26011,8497,777,5112
"Baraga, MI",26013,4598,1690,2206
"Barry, MI",26015,24629,738,405
"Bay, MI",26017,53733,83,2920
"Benzie, MI",26019,7596,1729,5767
"Berrien, MI",26021,90549,1515,3464
"Branch, MI",26023,22293,1796,2798
"Calhoun, MI",26025,75485,773,3974
"Cass, MI",26027,16753,714,5852
"Charlevoix, MI",26029,15081,1889,5277
"Cheboygan, MI",26031,12427,902,4921
"Chippewa, MI",26033,18883,605,74
"Clare, MI",26035,13515,566,5705
"Clinton, MI",26037,23331,1159,3546
"Crawford, MI",26039,6782,930,2651
"Delta, MI",26041,20386,692,20
"Dickinson, MI",26043,17808,100,5187
"Eaton, MI",26045,44623,662,4712
"Emmet, MI",26047,22383,809,3318
"Genesee, MI",26049,215423,897,1180
"Gladwin, MI",26051,7982,17,5105
"Gogebic, MI",26053,8511,1718,1453
"Grand Traverse, MI",26055,62196,644,507
"Gratiot, MI",26057,20139,1313,5995
"Hillsdale, MI",26059,23807,1660,3622
"Houghton, MI",26061,17813,705,877
"Huron, MI",26063,20462,1207,2609
"Ingham, MI",26065,212332,443,2483
"Ionia, MI",26067,22578,1576,4642
"Iosco, MI",26069,12192,52,5929
"Iron, MI",26071,5670,141,5131
"Isabella, MI",26073,36251,1886,3508
"Jackson, MI",26075,77819,1881,1491
"Kalamazoo, MI",26077,151409,1568,120
"Kalkaska, MI",26079,5900,922,5612
"Kent, MI",26081,419183,199,2016
"Keweenaw, MI",26083,966,1355,5880
"Lake, MI",26085,3491,993,1488
"Lapeer, MI",26087,33527,373,3261
"Leelanau, MI",26089,9680,1225,3223
"Lenawee, MI",26091,45716,1871,2288
"Livingston, MI",26093,68694,309,1995
"Luce, MI",26095,2883,224,2098
"Mackinac, MI",26097,7148,108,4338
"Macomb, MI",26099,417668,244,213
"Manistee, MI",26101,11757,1454,5169
"Marquette, MI",26103,34371,248,2459
"Mason, MI",26105,15603,1691,2186
"Mecosta, MI",26107,17851,1547,5864
"Menominee, MI",26109,12560,1821,4847
"Midland, MI",26111,47112,707,1938
"Missaukee, MI",26113,5170,992,5322
"Monroe, MI",26115,58726,1116,564
"Montcalm, MI",26117,27502,79,4658
"Montmorency, MI",26119,3647,164,1967
"Muskegon, MI",26121,83063,271,2139
"Newaygo, MI",26123,16676,1709,2079
"Oakland, MI",26125,960731,1622,5642
"Oceana, MI",26127,10160,1432,1788
"Ogemaw, MI",26129,9576,1775,3612
"Ontonagon, MI",26131,3369,1311,2893
"Osceola, MI",26133,11089,1741,1292
"Oscoda, MI",26135,3259,684,960
"Otsego, MI",26137,15221,882,1145
"Ottawa, MI",26139,146481,45,183
"Presque Isle, MI",26141,5352,579,1777
"Roscommon, MI",26143,9104,1591,812
"Saginaw, MI",26145,118721,984,5344
"St. Clair, MI",26147,68122,1648,3366
"St. Joseph, MI",26149,31805,1608,4680
"Sanilac, MI",26151,19012,868,2481
"Schoolcraft, MI",26153,3782,1318,1375
"Shiawassee, MI",26155,26611,441,2518
"Tuscola, MI",26157,19478,971,3648
"Van Buren, MI",26159,29534,434,311
"Washtenaw, MI",26161,244907,1687,4641
"Wayne, MI",26163,1038697,1106,3704
"Wexford, MI",26165,20491,890,5867
MINNESOTA,27000,3343518,68,876
"Aitkin, MN",27001,7342,1591,243
"Anoka, MN",27003,144501,144,1704
"Becker, MN",27005,20107,1244,5769
"Beltrami, MN",27007,24220,151,1300
"Benton, MN",27009,19430,516,1304
"Big Stone, MN",27011,3350,486,3994
"Blue Earth, MN",27013,44222,576,2432
"Brown, MN",27015,19867,1397,215
"Carlton, MN",27017,17499,1872,481
"Carver, MN",27019,41954,940,2585
"Cass, MN",27021,15924,1343,5164
"Chippewa, MN",27023,9016,1638,80
"Chisago, MN",27025,18209,513,5499
"Clay, MN",27027,25153,320,2434
"Clearwater, MN",27029,4893,780,5998
"Cook, MN",27031,3952,1288,4067
"Cottonwood, MN",27033,8160,1974,865
"Crow Wing, MN",27035,33213,1211,5519
"Dakota, MN",27037,199367,1391,3203
"Dodge, MN",27039,8540,1645,3487
"Douglas, MN",27041,23079,1403,3855
"Faribault, MN",27043,9336,1999,1944
"Fillmore, MN",27045,12222,1153,3865
"Freeborn, MN",27047,19269,194,3948
